bookname,isbn,binding,publicationdate,publisher,language,price,photo,DisplayContent,page,author
 The Eye of God ,9780595687039,Hardcover,06/12/2007,iUniverse,English,"

$33.95",https://covers.powells.com/9780595687039.jpg,,340,Jonathan R. Bourgault
" Nogales: A Memoir of Courage, Survival, and Escape ",9780595688043,Hardcover,11/27/2007,iUniverse,English,"

$31.95",https://covers.powells.com/9780595688043.jpg,"Synopses & ReviewsPublisher CommentsSteve and Bob thought they had found paradise in the small Indian village located in the lush jungle mountains of Michoacan, Mexico. Steve also discovered Pati, a dark-eyed Indian beauty and he was at peace . until the soldiers came on a June morning in 1973. In an instant, Steve and Bob's life would take a very dangerous turn. They were captured, tortured, and held in some of Mexico's worst prisons. There would be no judge, no jury, and no trial. Brought to the edge of despair, they endured prison riots, starvation, and horrible living conditions. They survived only through their friendship and a much needed sense of humor. When they are informed by a sympathetic guard that Steve is to be killed, it is time to formulate a desperate plan to be free or die trying.",204,Stephen H. Wilson
 Resurrecting the Iraqi Police: Observations of an American street cop in Iraq ,9780595689422,Hardcover,08/24/2007,iUniverse,English,"

$27.50",https://covers.powells.com/9780595689422.jpg,"Synopses & ReviewsPublisher CommentsThe challenges faced by the coalition forces are ever-growing, and the need for real solutions is increasingly urgent. In coffee shops across America-and across the world-people of all political, educational, and moral backgrounds share similar discussions of current events. The topics of the morning: Iraq and the mismanagement of the war on terror. After the fall of Saddam Hussein, the American soldiers and the Iraqi police were left to pick up the pieces of the shattered country. That is, until American law enforcement personnel joined the fray. Former Midwest police officer Larry D. Allen delivers a firsthand account of how the logical path to success in Iraq will be paved with the training of Iraqi police forces by civilian American police officers. His personal perspective on a complicated war brings home one simple truth: no matter what the goal, both Iraq and the United States will only succeed if their militaries partner with proactive and dedicated civilian police-the folks on the ground working among the people.",120,Larry D. Allen
" One Man's Walk Through Life: A Memoir of Humor, Romance, and Tragedy ",9780595689446,Hardcover,08/20/2007,iUniverse,English,"

$29.50",https://covers.powells.com/9780595689446.jpg,"Synopses & ReviewsPublisher CommentsThis moving memoir recounts the story of a life well lived. With a positive attitude and an optimistic view, Fred Bull tells of his difficult upbringing in the Appalachian Mountains of Tennessee. After running away from home at the age of sixteen, he enlisted in the U.S. Army. He and his friends enjoyed traveling to different continents, serving their country in uniform in Korea, and constantly trying to adhere to their upbringing. Along the way, he became a husband and father, a musician and entertainer, and a cancer survivor. Honest and heartwarming, One Man's Walk through Life highlights some of the foundations of American society through the eyes of a hardworking man.",172,Fred Bull
 It's Best Served Cold ,9780595694709,Hardcover,10/12/2007,iUniverse,English,"

$36.50",https://covers.powells.com/9780595694709.jpg,"Synopses & ReviewsSynopsisHow far would you go to change your life? Eric ""Chance"" West hates being poor and often ponders his future as a young black man in America. He decides that joining the U.S. Army, rather than going to college, is his way out of the vicious cycle of under-earning and tenement-dwelling in which he and his friends grew up. Not long after his eighteenth birthday, Chance is sent to Vietnam. During this time abroad, he witnesses rampant drug use and decides that if other people are getting rich off dealing drugs, he might as well be one of them. As soon as he gets discharged, Chance hooks up with some of his old friends and service buddies to form a gentlemen's syndicate. To his surprise, they all agree to follow his lead-albeit with dollar signs in their eyes. After making millions in the drug business, Chance intends to redeem himself by going legit. But becoming a philanthropist and helping his fellow African Americans obtain jobs may not be enough to keep his checkered past at bay .   
",396,Estes Jennings
 The Universal Success Formula ,9780595695034,Hardcover,03/04/2008,iUniverse,English,"

$25.95",https://covers.powells.com/9780595695034.jpg,"Synopses & ReviewsPublisher CommentsWhether you realize it or not, you have already implemented a formula to get-or not get-what you want out of life. You see, many of us unintentionally set into motion a plan that actually sabotages our success. It's time you took full control of your own destiny and combine all the vital elements you need to create the dynamic life you deserve. In this empowering guide, entrepreneur John Robicheau introduces his simple but powerful Assembly Line Approach. The nine steps of his model are already programmed into us all, but we seldom utilize them to their full potential. And like an assembly line, if one step is pulled from the process, the entire end product fails.  With the proper knowledge, awareness, and skills, you can use Robicheau's no-fail formula to maximize your life's success by:  Defining your dreams or goals Sharing your dreams or goals Seeking knowledge and assistance Accepting and anticipating obstacles Practicing what you learn Being open to change Implementing change Celebrating your success When you apply Robicheau's program physically, emotionally, spiritually, and even financially, you will make your life everything you want it to be and more.",168,John Robicheau
 The Great God Hunt: The Workings of the Universe Revealed ,9780595696956,Hardcover,11/12/2007,iUniverse,English,"

$26.50",https://covers.powells.com/9780595696956.jpg,"Synopses & ReviewsPublisher CommentsWhere Do We Go From Here? The Great God Hunt reveals answers to some of life's toughest questions by unveiling intimate details on the workings of the Universe. Like pieces of a puzzle finally coming together, this little book fills the void of the great unknown. After the untimely deaths of her father and two of her sons, Linda Losey was determined to find out where they had gone and what life was like for them once they arrived. So she asked. It was as if the gates of heaven had opened-she was flooded with an awareness from somewhere beyond time and space providing insight into the other side. What is our purpose? Why are we here?  What happens after we die?  How did it all begin?  What is heaven like?  Does evil exist?  How do we make sense of it all? Linda has woven the heartfelt journey of her father and sons' deaths with her resulting awareness of the Universe into a guide on living. If you've ever wanted to discover your reason for being or wondered what awaits you in the afterlife, delve in and embrace the journey as you venture into the unknown-It's a voyage unlike any other.",116,Linda Losey
 The Angel of Death and the Demon ,9780595698783,Hardcover,12/04/2007,iUniverse,English,"

$31.95",https://covers.powells.com/9780595698783.jpg,"Synopses & ReviewsPublisher CommentsLiam Michaels isn't just a wealthy art dealer and photographer. He is actually Azrael, the angel of death, an immortal sentinel created thousands of years ago before the dawn of man for the purpose of finding and destroying true evil. Azrael and his Core, a group of highly trained commandos, have just squashed attempted attacks on New York and Chicago by terrorists wielding neutron bombs. In the process, they discovered who was behind the threat: the Ba, an ancient warrior people controlled by a demon-the demon Azrael has been battling for more than three thousand years. Now the fight is about to come to a climax as Azrael and his team pursue the demon across the United States and Europe in a desperate effort to prevent a global nuclear holocaust. While this high-tech thriller rides the borders of the imagination and tangles with the unthinkable, the futuristic weaponry and advanced military systems employed by Azrael and his commandos arise from technologies that actually exist today in prototype form. In this chilling tale of terrorism, Azrael and the Core must utilize their most daring maneuvers, ingenious countertactics, and flat-out heroics in a brutal battle over the fate of the world.",276,D. Michael Olive
 The Caretaker's Bible ,9780595700288,Hardcover,12/09/2007,iUniverse,English,"

$28.95",https://powells-covers-2.s3.amazonaws.com/9780595700288.jpg,"Synopses & ReviewsPublisher Comments1972. While vacationing reporter Brian Allen Bennett visits a charming villa in Tuscany, Italy, he receives a gift from the mysterious caretaker-a Bible that contains two cryptic documents: a birth certificate dated April 20, 1889, and a letter from a monk verifying the discovery of a baby on the monastery doorstep that same day. Professional analysis of writing throughout the Bible proves that the handwriting is that of Adolf Hitler. Bennett begins to investigate and learns that the sickly infant abandoned by its father was the twin brother of Adolf Hitler. Even more astoundingly, he grew up to be a monk. Bennett then spends the next six months searching for more clues to Hitler's brother's past while being relentlessly pursued by the infamous pro-Nazi group, Friends of the Third Reich. With the caretaker's help, Bennett eventually uncovers an incredible story of deception and intrigue swirling around the greatest secret of the twentieth century. It all begins with Heinrich Glossen- the man who holds the key to the twins' pasts-at Kremsmnster Monastery, Austria, in 1939.",294,R. L. Galbraith
 Thy Kingdom Come ,9780595700561,Hardcover,09/07/2007,iUniverse,English,"

$29.50",https://covers.powells.com/9780595700561.jpg,"Synopses & ReviewsPublisher CommentsJesus promised the disciples three things-that they would be completely fearless, absurdly happy and in constant trouble. -Chesterton, G.K. A Prophetic Call to the Conservative Church in America-Return to the Kingdom  Is life in the kingdom not working for you in the way you have been led to believe? If you're open to a more Biblical understanding of the kingdom and its implications for your life, then stick your toe in the water: you are ready for Thy Kingdom Come. Addressing some very important issues within the conservative Christian movement in the United States, Thy Kingdom Come is for anyone who wonders what is meant by The Kingdom of God and for those who yearn to understand how it relates to their beliefs and day-to-day life. Full of quotes from the Bible and detailed analysis, personal stories from Ray Ashmore's life, and answers to common questions asked by believers, this groundbreaking work teaches what the scriptures really say about the kingdom. If you're ready to challenge what you've assumed or been taught, then let Ashmore broaden your horizons. The journey into kingdom life is an important one-and the time has come.",180,Ray Ashmore
